"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Buster Posey","Giants","132","574","502","148","28","1","12","64","70","62","64","5","4","1",".295",".375",".426",".801",".346","2.0","0.0","4.5","145.8","9166"
"C.J. Cron","Twins","146","618","554","144","29","2","31","87","97","43","136","14","2","1",".260",".325",".487",".813",".346","1.0","-0.3","2.1","252.5","12546"
"Wil Myers","Padres","146","627","559","145","36","3","27","82","93","60","155","3","27","5",".259",".332",".479",".811",".346","-1.0","3.0","3.1","103.7","10047"
"Eric Hosmer","Padres","156","683","616","173","33","2","24","88","91","64","117","1","6","2",".281",".348",".458",".806",".346","-2.0","0.0","2.4","176.5","3516"
"Adam Frazier","Pirates","139","635","567","167","32","6","11","97","63","57","84","7","8","4",".295",".364",".430",".794",".345","0.0","-0.5","3.7","398.7","15223"
"Mike Moustakas","Brewers","143","602","540","142","32","1","29","85","94","53","86","4","4","1",".263",".331",".487",".818",".345","0.0","0.1","3.3","138.8","4892"
"Ian Happ","Cubs","127","525","449","115","23","2","20","68","73","68","158","3","7","2",".256",".354",".450",".804",".345","-1.0","0.3","2.4","289.7","17919"
"Ozzie Albies","Braves","151","652","599","168","35","9","21","78","89","43","105","6","21","4",".280",".333",".474",".807",".345","7.0","2.2","4.5","61.3","16556"
"Whit Merrifield","Royals","151","684","618","182","37","4","16","107","74","55","90","5","40","7",".295",".354",".445",".799",".345","2.0","4.7","4.7","30.8","11281"
"Eduardo Escobar","Diamondbacks","148","629","570","154","33","5","26","82","93","49","106","5","9","4",".270",".331",".482",".813",".344","1.0","-0.2","3.7","180.5","6153"
"Nomar Mazara","Rangers","148","627","566","153","31","3","26","82","93","51","105","5","3","2",".270",".333",".474",".807",".344","2.0","-0.6","2.4","158.1","14553"
"Chris Taylor","Dodgers","156","684","610","163","36","9","20","84","86","64","168","7","12","3",".267",".342",".454",".796",".344","1.0","0.8","4.3","236.2","13757"
